case_id,operator_id,operator,hardware,method,status,reason,latency_us,mode
train:matmul|tilesim:910B4|roofline,train:matmul,MatMul,tilesim:910B4,roofline,unsupported,缺少此型号的 Roofline 规格（矩阵/向量峰值、整卡 HBM 带宽）,,
train:matmul|tilesim:910B4|tilesim,train:matmul,MatMul,tilesim:910B4,tilesim,succeeded,,4.441526814082755,dsl-eng
train:matmul|tilesim:910B4|method3,train:matmul,MatMul,tilesim:910B4,method3,not_connected,尚未配置评估组件,,
train:matmul|tilesim:910B4|method4,train:matmul,MatMul,tilesim:910B4,method4,not_connected,尚未配置评估组件,,
train:linear|ascend|profile,train:linear,Linear,ascend,profile,not_connected,尚未接入实测参考,,
train:linear|ascend|roofline,train:linear,Linear,ascend,roofline,succeeded,,1.6384,roofline
train:linear|ascend|tilesim,train:linear,Linear,ascend,tilesim,succeeded,,4.441526814082755,dsl-eng
train:linear|ascend|method3,train:linear,Linear,ascend,method3,not_connected,尚未配置评估组件,,
train:linear|ascend|method4,train:linear,Linear,ascend,method4,not_connected,尚未配置评估组件,,
train:linear|h100|profile,train:linear,Linear,h100,profile,not_connected,尚未接入实测参考,,
train:linear|h100|roofline,train:linear,Linear,h100,roofline,succeeded,,0.7825194029850746,roofline
train:linear|h100|tilesim,train:linear,Linear,h100,tilesim,unsupported,TileSim 的 H200 配置缺少 BF16 计算/向量参数；未改用 FP16,,
train:linear|h100|method3,train:linear,Linear,h100,method3,not_connected,尚未配置评估组件,,
train:linear|h100|method4,train:linear,Linear,h100,method4,not_connected,尚未配置评估组件,,
train:linear|h200|profile,train:linear,Linear,h200,profile,not_connected,尚未接入实测参考,,
train:linear|h200|roofline,train:linear,Linear,h200,roofline,succeeded,,0.5461333333333334,roofline
train:linear|h200|tilesim,train:linear,Linear,h200,tilesim,unsupported,TileSim 的 H200 配置缺少 BF16 计算/向量参数；未改用 FP16,,
train:linear|h200|method3,train:linear,Linear,h200,method3,not_connected,尚未配置评估组件,,
train:linear|h200|method4,train:linear,Linear,h200,method4,not_connected,尚未配置评估组件,,
train:linear|b200|profile,train:linear,Linear,b200,profile,not_connected,尚未接入实测参考,,
train:linear|b200|roofline,train:linear,Linear,b200,roofline,succeeded,,0.32767999999999997,roofline
train:linear|b200|tilesim,train:linear,Linear,b200,tilesim,unsupported,TileSim 的 GB200 配置缺少 BF16 计算/向量参数；未改用 FP16,,
train:linear|b200|method3,train:linear,Linear,b200,method3,not_connected,尚未配置评估组件,,
train:linear|b200|method4,train:linear,Linear,b200,method4,not_connected,尚未配置评估组件,,
train:linear|b300|profile,train:linear,Linear,b300,profile,not_connected,尚未接入实测参考,,
train:linear|b300|roofline,train:linear,Linear,b300,roofline,succeeded,,0.32767999999999997,roofline
train:linear|b300|tilesim,train:linear,Linear,b300,tilesim,unsupported,TileSim 的 H200 配置缺少 BF16 计算/向量参数；未改用 FP16,,
train:linear|b300|method3,train:linear,Linear,b300,method3,not_connected,尚未配置评估组件,,
train:linear|b300|method4,train:linear,Linear,b300,method4,not_connected,尚未配置评估组件,,
train:linear|r200|profile,train:linear,Linear,r200,profile,not_connected,尚未接入实测参考,,
train:linear|r200|roofline,train:linear,Linear,r200,roofline,succeeded,,0.134217728,roofline
train:linear|r200|tilesim,train:linear,Linear,r200,tilesim,unsupported,TileSim 的 R200 配置缺少 BF16 计算/向量参数；未改用 FP16,,
train:linear|r200|method3,train:linear,Linear,r200,method3,not_connected,尚未配置评估组件,,
train:linear|r200|method4,train:linear,Linear,r200,method4,not_connected,尚未配置评估组件,,
